case;event;time
0;W_Completeren aanvraag;01.10.2011-09:45:13
0;W_Nabellen offertes;01.10.2011-10:17:08
0;W_Nabellen offertes;08.10.2011-14:32:00
0;W_Nabellen offertes;10.10.2011-09:33:05
0;W_Valideren aanvraag;13.10.2011-08:37:37
1;W_Completeren aanvraag;01.10.2011-09:43:13
1;W_Completeren aanvraag;01.10.2011-12:35:48
1;W_Nabellen offertes;01.10.2011-12:36:25
1;W_Nabellen offertes;03.10.2011-14:56:21
1;W_Nabellen offertes;03.10.2011-14:57:16
1;W_Nabellen offertes;10.10.2011-08:14:45
1;W_Valideren aanvraag;10.10.2011-09:30:54
1;W_Valideren aanvraag;10.10.2011-12:14:13
1;W_Valideren aanvraag;10.10.2011-12:17:34
2;W_Completeren aanvraag;01.10.2011-09:35:59
2;W_Completeren aanvraag;03.10.2011-09:21:22
2;W_Completeren aanvraag;03.10.2011-11:32:43
2;W_Completeren aanvraag;03.10.2011-11:40:17
2;W_Nabellen offertes;03.10.2011-11:44:21
2;W_Nabellen offertes;10.10.2011-14:47:18
2;W_Nabellen offertes;10.10.2011-17:34:36
2;W_Nabellen offertes;14.10.2011-16:16:42
2;W_Nabellen offertes;17.10.2011-17:43:57
2;W_Nabellen offertes;25.10.2011-08:50:48
2;W_Nabellen offertes;26.10.2011-16:50:22
2;W_Nabellen offertes;29.10.2011-10:41:29
2;W_Nabellen offertes;01.11.2011-13:55:35
2;W_Nabellen offertes;01.11.2011-16:21:02
2;W_Nabellen offertes;02.11.2011-08:15:18
2;W_Valideren aanvraag;04.11.2011-15:05:01
3;W_Completeren aanvraag;01.10.2011-09:40:24
3;W_Completeren aanvraag;01.10.2011-11:02:12
4;W_Afhandelen leads;01.10.2011-08:16:49
4;W_Completeren aanvraag;01.10.2011-09:50:14
4;W_Completeren aanvraag;01.10.2011-09:53:55
4;W_Completeren aanvraag;01.10.2011-13:00:02
5;W_Completeren aanvraag;01.10.2011-08:27:07
5;W_Completeren aanvraag;01.10.2011-09:43:02
5;W_Completeren aanvraag;10.10.2011-15:43:13
5;W_Completeren aanvraag;01.11.2011-08:15:08
6;W_Afhandelen leads;01.10.2011-08:10:25
6;W_Completeren aanvraag;01.10.2011-11:03:35
6;W_Completeren aanvraag;03.10.2011-09:17:29
6;W_Completeren aanvraag;03.10.2011-12:42:55
7;W_Completeren aanvraag;01.10.2011-09:46:06
7;W_Completeren aanvraag;01.10.2011-10:30:24
7;W_Nabellen offertes;08.10.2011-14:38:17
7;W_Nabellen offertes;10.10.2011-10:54:04
7;W_Valideren aanvraag;13.10.2011-09:05:28
8;W_Completeren aanvraag;01.10.2011-08:44:43
8;W_Nabellen offertes;01.10.2011-08:44:58
8;W_Nabellen offertes;01.10.2011-08:46:56
8;W_Nabellen offertes;01.10.2011-08:50:20
8;W_Nabellen offertes;01.10.2011-08:50:34
8;W_Nabellen offertes;08.10.2011-14:31:37
8;W_Nabellen offertes;10.10.2011-08:55:07
8;W_Valideren aanvraag;13.10.2011-10:36:12
8;W_Nabellen incomplete dossiers;13.10.2011-11:05:42
8;W_Nabellen incomplete dossiers;13.10.2011-11:53:16
8;W_Nabellen incomplete dossiers;13.10.2011-15:12:01
8;W_Nabellen incomplete dossiers;13.10.2011-15:14:13
8;W_Nabellen incomplete dossiers;13.10.2011-15:14:26
8;W_Nabellen incomplete dossiers;15.10.2011-13:17:31
8;W_Nabellen incomplete dossiers;15.10.2011-14:56:14
8;W_Nabellen incomplete dossiers;17.10.2011-11:32:51
8;W_Nabellen incomplete dossiers;17.10.2011-12:28:36
8;W_Nabellen incomplete dossiers;18.10.2011-14:46:24
8;W_Nabellen incomplete dossiers;18.10.2011-15:46:34
8;W_Valideren aanvraag;19.10.2011-06:53:21
8;W_Nabellen incomplete dossiers;19.10.2011-07:17:01
8;W_Nabellen incomplete dossiers;19.10.2011-07:24:19
8;W_Nabellen incomplete dossiers;20.10.2011-07:30:32
8;W_Nabellen incomplete dossiers;24.10.2011-13:24:55
8;W_Nabellen incomplete dossiers;26.10.2011-06:12:38
8;W_Valideren aanvraag;27.10.2011-07:18:01
9;W_Completeren aanvraag;01.10.2011-09:20:50
9;W_Nabellen offertes;01.10.2011-09:22:52
9;W_Nabellen offertes;01.10.2011-09:32:54
9;W_Nabellen offertes;04.10.2011-12:47:39
9;W_Nabellen offertes;06.10.2011-07:49:47
9;W_Valideren aanvraag;10.10.2011-08:06:09
9;W_Nabellen incomplete dossiers;10.10.2011-08:20:04
9;W_Nabellen incomplete dossiers;10.10.2011-09:42:32
9;W_Nabellen incomplete dossiers;10.10.2011-12:22:14
9;W_Nabellen incomplete dossiers;10.10.2011-14:28:29
10;W_Afhandelen leads;01.10.2011-10:12:27
10;W_Afhandelen leads;01.10.2011-10:20:55
10;W_Completeren aanvraag;01.10.2011-11:27:08
10;W_Completeren aanvraag;01.10.2011-12:02:01
10;W_Completeren aanvraag;01.10.2011-13:15:17
10;W_Completeren aanvraag;03.10.2011-09:33:42
10;W_Completeren aanvraag;03.10.2011-13:48:20
11;W_Completeren aanvraag;01.10.2011-11:55:31
11;W_Completeren aanvraag;01.10.2011-13:15:12
11;W_Completeren aanvraag;01.10.2011-13:31:19
11;W_Completeren aanvraag;01.10.2011-13:40:12
11;W_Nabellen offertes;01.10.2011-13:48:39
11;W_Nabellen offertes;08.10.2011-14:20:20
11;W_Nabellen offertes;10.10.2011-18:49:26
11;W_Nabellen offertes;11.10.2011-08:47:04
11;W_Nabellen offertes;11.10.2011-17:55:07
11;W_Nabellen offertes;12.10.2011-13:37:20
11;W_Nabellen offertes;13.10.2011-16:35:43
11;W_Nabellen offertes;14.10.2011-08:21:10
11;W_Valideren aanvraag;19.10.2011-11:20:05
11;W_Nabellen incomplete dossiers;19.10.2011-11:32:57
11;W_Nabellen incomplete dossiers;19.10.2011-11:36:44
11;W_Nabellen incomplete dossiers;19.10.2011-17:11:47
11;W_Nabellen incomplete dossiers;20.10.2011-06:10:36
11;W_Valideren aanvraag;20.10.2011-08:08:56
11;W_Nabellen incomplete dossiers;20.10.2011-08:27:48
11;W_Nabellen incomplete dossiers;20.10.2011-08:45:06
11;W_Valideren aanvraag;20.10.2011-10:00:47
11;W_Nabellen incomplete dossiers;20.10.2011-10:32:33
11;W_Nabellen incomplete dossiers;20.10.2011-11:52:22
11;W_Nabellen incomplete dossiers;20.10.2011-14:25:42
11;W_Valideren aanvraag;21.10.2011-04:15:05
11;W_Valideren aanvraag;21.10.2011-07:05:10
11;W_Valideren aanvraag;21.10.2011-07:08:21
12;W_Afhandelen leads;01.10.2011-12:54:56
13;W_Completeren aanvraag;01.10.2011-13:40:09
13;W_Completeren aanvraag;01.10.2011-13:55:45
13;W_Completeren aanvraag;01.10.2011-14:05:28
13;W_Nabellen offertes;04.10.2011-10:59:22
13;W_Nabellen offertes;10.10.2011-11:34:00
13;W_Valideren aanvraag;13.10.2011-08:49:09
13;W_Nabellen incomplete dossiers;13.10.2011-09:03:37
13;W_Nabellen incomplete dossiers;13.10.2011-09:06:33
13;W_Nabellen incomplete dossiers;13.10.2011-09:08:21
13;W_Nabellen incomplete dossiers;13.10.2011-09:36:55
13;W_Nabellen incomplete dossiers;13.10.2011-10:16:30
13;W_Nabellen incomplete dossiers;18.10.2011-08:20:38
13;W_Valideren aanvraag;18.10.2011-10:01:37
14;W_Completeren aanvraag;01.10.2011-13:27:27
14;W_Completeren aanvraag;01.10.2011-13:42:01
14;W_Completeren aanvraag;01.10.2011-13:56:43
14;W_Nabellen offertes;01.10.2011-14:00:21
14;W_Nabellen offertes;08.10.2011-13:32:48
