case_id;activity;time;resource
0;Accepted-In Progress;31.03.2010-14:59:42;Frederic
0;Accepted-In Progress;31.03.2010-15:00:56;Frederic
0;Queued-Awaiting Assignment;31.03.2010-15:45:48;Frederic
0;Accepted-In Progress;06.04.2010-14:44:07;Anne Claire
0;Queued-Awaiting Assignment;06.04.2010-14:44:38;Anne Claire
0;Accepted-In Progress;06.04.2010-14:44:47;Anne Claire
0;Completed-Resolved;06.04.2010-14:44:51;Anne Claire
0;Queued-Awaiting Assignment;06.04.2010-14:45:07;Anne Claire
0;Accepted-In Progress;08.04.2010-10:52:23;Eric
0;Queued-Awaiting Assignment;08.04.2010-10:53:35;Eric
0;Accepted-In Progress;20.04.2010-09:07:11;Anne Claire
0;Accepted-Assigned;20.04.2010-09:07:19;Anne Claire
0;Accepted-In Progress;11.04.2012-15:11:17;Sarah
0;Accepted-Assigned;11.04.2012-15:11:25;Sarah
0;Accepted-In Progress;03.05.2012-09:10:10;Loic
0;Completed-Resolved;03.05.2012-09:10:12;Loic
0;Completed-Closed;10.05.2012-23:26:15;Siebel
1;Accepted-In Progress;31.01.2011-10:12:22;Adam
1;Accepted-In Progress;31.01.2011-10:18:44;Adam
1;Queued-Awaiting Assignment;31.01.2011-10:19:05;Adam
1;Accepted-In Progress;31.01.2011-11:59:46;Denny
1;Accepted-Wait - User;31.01.2011-13:37:55;Denny
1;Queued-Awaiting Assignment;03.02.2011-07:28:58;Denny
1;Accepted-In Progress;07.02.2011-11:37:33;Paul
1;Accepted-Wait - Implementation;07.02.2011-11:38:25;Paul
1;Accepted-In Progress;09.03.2011-10:08:06;Åse
1;Accepted-Wait - Implementation;09.03.2011-10:27:05;Åse
1;Accepted-In Progress;10.03.2011-10:53:10;Joseph
1;Accepted-Assigned;10.03.2011-10:53:22;Joseph
1;Accepted-In Progress;10.03.2011-11:17:22;Björn T
1;Accepted-Wait - User;10.03.2011-11:21:51;Björn T
1;Accepted-Wait;10.03.2011-13:45:27;Björn T
1;Accepted-Assigned;14.03.2011-06:56:20;Björn T
1;Accepted-In Progress;14.03.2011-06:58:01;Åse
1;Accepted-Wait;14.03.2011-06:58:55;Åse
1;Accepted-In Progress;05.04.2011-15:59:52;Suliman
1;Queued-Awaiting Assignment;05.04.2011-16:02:01;Suliman
1;Accepted-In Progress;06.04.2011-08:32:07;Denny
1;Accepted-Assigned;06.04.2011-09:47:50;Denny
1;Accepted-In Progress;06.04.2011-09:48:33;Jon
1;Accepted-Wait - User;06.04.2011-10:08:47;Jon
1;Accepted-In Progress;07.04.2011-11:36:47;Jon
1;Accepted-Wait;07.04.2011-12:06:06;Jon
1;Accepted-In Progress;08.04.2011-12:10:59;Jon
1;Accepted-Wait;08.04.2011-12:17:44;Jon
1;Queued-Awaiting Assignment;08.04.2011-12:20:00;Jon
1;Accepted-In Progress;12.04.2011-13:16:47;Gustav
1;Accepted-In Progress;08.08.2011-13:28:38;Magnus
1;Accepted-Assigned;12.09.2011-09:22:38;Magnus
1;Accepted-In Progress;21.11.2011-12:52:19;Magnus
1;Accepted-Wait - Implementation;21.11.2011-12:52:57;Magnus
1;Queued-Awaiting Assignment;25.01.2012-14:50:41;Magnus
1;Accepted-In Progress;25.01.2012-14:53:07;Andreas
1;Queued-Awaiting Assignment;25.01.2012-14:54:00;Andreas
1;Accepted-In Progress;15.05.2012-15:56:51;Torbjörn
1;Completed-Resolved;15.05.2012-15:57:39;Torbjörn
1;Completed-Closed;22.05.2012-23:22:25;Siebel
2;Accepted-In Progress;24.02.2011-15:17:46;Bert
2;Accepted-In Progress;24.02.2011-15:17:52;Bert
2;Queued-Awaiting Assignment;24.02.2011-15:19:35;Bert
2;Accepted-In Progress;28.02.2011-12:46:38;Luc
2;Queued-Awaiting Assignment;28.02.2011-12:47:22;Luc
2;Accepted-In Progress;28.02.2011-12:48:12;Henk
2;Queued-Awaiting Assignment;28.02.2011-12:53:24;Henk
2;Accepted-In Progress;04.05.2011-16:07:37;Earl
2;Queued-Awaiting Assignment;17.02.2012-13:49:34;Tsun Fai
2;Accepted-In Progress;21.03.2012-15:21:44;Juan
2;Accepted-In Progress;26.03.2012-09:55:35;Juan
2;Queued-Awaiting Assignment;26.03.2012-09:57:04;Juan
2;Accepted-In Progress;03.04.2012-13:29:44;Earl
2;Accepted-Wait;03.04.2012-13:29:49;Earl
2;Accepted-In Progress;04.05.2012-06:58:20;Juan
2;Completed-Resolved;04.05.2012-06:59:39;Juan
2;Completed-Closed;11.05.2012-23:21:31;Siebel
3;Accepted-In Progress;28.02.2011-13:13:33;Ilona
3;Accepted-In Progress;28.02.2011-13:13:40;Ilona
3;Queued-Awaiting Assignment;28.02.2011-13:17:09;Ilona
3;Accepted-In Progress;01.03.2011-14:59:36;Luc
3;Queued-Awaiting Assignment;01.03.2011-15:00:16;Luc
3;Accepted-In Progress;01.03.2011-17:34:25;Evy
3;Accepted-Assigned;01.03.2011-17:46:00;Evy
3;Accepted-In Progress;02.03.2011-06:42:49;Ilona
3;Queued-Awaiting Assignment;02.03.2011-06:44:11;Ilona
3;Accepted-In Progress;04.05.2011-16:08:55;Earl
3;Queued-Awaiting Assignment;13.03.2012-09:53:43;Reinier
3;Accepted-In Progress;13.03.2012-10:11:24;Juan
3;Queued-Awaiting Assignment;13.03.2012-10:27:20;Juan
3;Accepted-In Progress;03.04.2012-13:59:27;Earl
3;Accepted-Wait - Implementation;04.04.2012-13:53:31;Earl
3;Accepted-In Progress;04.04.2012-13:54:40;Earl
3;Accepted-In Progress;04.05.2012-06:55:03;Juan
3;Completed-Resolved;04.05.2012-06:57:02;Juan
3;Completed-Closed;11.05.2012-23:21:30;Siebel
4;Accepted-In Progress;07.03.2011-09:42:08;Olga
4;Accepted-In Progress;07.03.2011-09:44:43;Olga
4;Accepted-In Progress;07.03.2011-09:51:59;Olga
4;Queued-Awaiting Assignment;07.03.2011-09:52:51;Olga
4;Accepted-In Progress;07.03.2011-10:48:31;Luc
4;Queued-Awaiting Assignment;07.03.2011-10:55:20;Luc
4;Accepted-In Progress;07.03.2011-11:03:37;Olga
4;Accepted-Wait - User;07.03.2011-11:04:35;Olga
4;Accepted-In Progress;07.03.2011-12:22:56;Olga
4;Queued-Awaiting Assignment;07.03.2011-12:24:38;Olga
4;Accepted-In Progress;07.03.2011-13:13:15;Luc
4;Queued-Awaiting Assignment;07.03.2011-13:13:58;Luc
4;Accepted-In Progress;08.03.2011-05:53:06;Olga
4;Queued-Awaiting Assignment;08.03.2011-05:55:54;Olga
4;Accepted-In Progress;08.03.2011-08:16:24;Luc
4;Queued-Awaiting Assignment;08.03.2011-08:18:18;Luc
4;Accepted-In Progress;08.03.2011-08:20:32;Olga
4;Accepted-Wait - User;08.03.2011-08:22:46;Olga
4;Accepted-In Progress;09.03.2011-06:16:14;Olga
4;Queued-Awaiting Assignment;09.03.2011-06:17:16;Olga
4;Accepted-In Progress;09.03.2011-16:03:41;Luc
4;Queued-Awaiting Assignment;09.03.2011-16:05:12;Luc
4;Accepted-In Progress;10.03.2011-11:29:05;Olga
4;Accepted-Wait - User;10.03.2011-11:47:33;Olga
4;Accepted-In Progress;14.03.2011-09:19:53;Olga
4;Accepted-Assigned;14.03.2011-09:28:30;Olga
4;Accepted-In Progress;14.03.2011-09:28:35;Olga
4;Queued-Awaiting Assignment;14.03.2011-09:29:13;Olga
4;Accepted-In Progress;14.03.2011-09:30:27;Olga
4;Queued-Awaiting Assignment;14.03.2011-09:37:19;Olga
4;Accepted-In Progress;15.03.2011-09:41:17;Luc
4;Queued-Awaiting Assignment;15.03.2011-09:53:36;Luc
4;Accepted-In Progress;15.03.2011-10:00:18;Olga
