case;event;time
0;Accepted-In Progress;31.03.2010-14:59:42
0;Accepted-In Progress;31.03.2010-15:00:56
0;Queued-Awaiting Assignment;31.03.2010-15:45:48
0;Accepted-In Progress;06.04.2010-14:44:07
0;Queued-Awaiting Assignment;06.04.2010-14:44:38
0;Accepted-In Progress;06.04.2010-14:44:47
0;Completed-Resolved;06.04.2010-14:44:51
0;Queued-Awaiting Assignment;06.04.2010-14:45:07
0;Accepted-In Progress;08.04.2010-10:52:23
0;Queued-Awaiting Assignment;08.04.2010-10:53:35
0;Accepted-In Progress;20.04.2010-09:07:11
0;Accepted-Assigned;20.04.2010-09:07:19
0;Accepted-In Progress;11.04.2012-15:11:17
0;Accepted-Assigned;11.04.2012-15:11:25
0;Accepted-In Progress;03.05.2012-09:10:10
0;Completed-Resolved;03.05.2012-09:10:12
0;Completed-Closed;10.05.2012-23:26:15
1;Accepted-In Progress;31.01.2011-10:12:22
1;Accepted-In Progress;31.01.2011-10:18:44
1;Queued-Awaiting Assignment;31.01.2011-10:19:05
1;Accepted-In Progress;31.01.2011-11:59:46
1;Accepted-Wait - User;31.01.2011-13:37:55
1;Queued-Awaiting Assignment;03.02.2011-07:28:58
1;Accepted-In Progress;07.02.2011-11:37:33
1;Accepted-Wait - Implementation;07.02.2011-11:38:25
1;Accepted-In Progress;09.03.2011-10:08:06
1;Accepted-Wait - Implementation;09.03.2011-10:27:05
1;Accepted-In Progress;10.03.2011-10:53:10
1;Accepted-Assigned;10.03.2011-10:53:22
1;Accepted-In Progress;10.03.2011-11:17:22
1;Accepted-Wait - User;10.03.2011-11:21:51
1;Accepted-Wait;10.03.2011-13:45:27
1;Accepted-Assigned;14.03.2011-06:56:20
1;Accepted-In Progress;14.03.2011-06:58:01
1;Accepted-Wait;14.03.2011-06:58:55
1;Accepted-In Progress;05.04.2011-15:59:52
1;Queued-Awaiting Assignment;05.04.2011-16:02:01
1;Accepted-In Progress;06.04.2011-08:32:07
1;Accepted-Assigned;06.04.2011-09:47:50
1;Accepted-In Progress;06.04.2011-09:48:33
1;Accepted-Wait - User;06.04.2011-10:08:47
1;Accepted-In Progress;07.04.2011-11:36:47
1;Accepted-Wait;07.04.2011-12:06:06
1;Accepted-In Progress;08.04.2011-12:10:59
1;Accepted-Wait;08.04.2011-12:17:44
1;Queued-Awaiting Assignment;08.04.2011-12:20:00
1;Accepted-In Progress;12.04.2011-13:16:47
1;Accepted-In Progress;08.08.2011-13:28:38
1;Accepted-Assigned;12.09.2011-09:22:38
1;Accepted-In Progress;21.11.2011-12:52:19
1;Accepted-Wait - Implementation;21.11.2011-12:52:57
1;Queued-Awaiting Assignment;25.01.2012-14:50:41
1;Accepted-In Progress;25.01.2012-14:53:07
1;Queued-Awaiting Assignment;25.01.2012-14:54:00
1;Accepted-In Progress;15.05.2012-15:56:51
1;Completed-Resolved;15.05.2012-15:57:39
1;Completed-Closed;22.05.2012-23:22:25
2;Accepted-In Progress;24.02.2011-15:17:46
2;Accepted-In Progress;24.02.2011-15:17:52
2;Queued-Awaiting Assignment;24.02.2011-15:19:35
2;Accepted-In Progress;28.02.2011-12:46:38
2;Queued-Awaiting Assignment;28.02.2011-12:47:22
2;Accepted-In Progress;28.02.2011-12:48:12
2;Queued-Awaiting Assignment;28.02.2011-12:53:24
2;Accepted-In Progress;04.05.2011-16:07:37
2;Queued-Awaiting Assignment;17.02.2012-13:49:34
2;Accepted-In Progress;21.03.2012-15:21:44
2;Accepted-In Progress;26.03.2012-09:55:35
2;Queued-Awaiting Assignment;26.03.2012-09:57:04
2;Accepted-In Progress;03.04.2012-13:29:44
2;Accepted-Wait;03.04.2012-13:29:49
2;Accepted-In Progress;04.05.2012-06:58:20
2;Completed-Resolved;04.05.2012-06:59:39
2;Completed-Closed;11.05.2012-23:21:31
3;Accepted-In Progress;28.02.2011-13:13:33
3;Accepted-In Progress;28.02.2011-13:13:40
3;Queued-Awaiting Assignment;28.02.2011-13:17:09
3;Accepted-In Progress;01.03.2011-14:59:36
3;Queued-Awaiting Assignment;01.03.2011-15:00:16
3;Accepted-In Progress;01.03.2011-17:34:25
3;Accepted-Assigned;01.03.2011-17:46:00
3;Accepted-In Progress;02.03.2011-06:42:49
3;Queued-Awaiting Assignment;02.03.2011-06:44:11
3;Accepted-In Progress;04.05.2011-16:08:55
3;Queued-Awaiting Assignment;13.03.2012-09:53:43
3;Accepted-In Progress;13.03.2012-10:11:24
3;Queued-Awaiting Assignment;13.03.2012-10:27:20
3;Accepted-In Progress;03.04.2012-13:59:27
3;Accepted-Wait - Implementation;04.04.2012-13:53:31
3;Accepted-In Progress;04.04.2012-13:54:40
3;Accepted-In Progress;04.05.2012-06:55:03
3;Completed-Resolved;04.05.2012-06:57:02
