case;event;time
0;Assign seriousness;09.10.2012-14:50:17
0;Take in charge ticket;09.10.2012-14:51:01
0;Take in charge ticket;12.10.2012-15:02:56
0;Resolve ticket;25.10.2012-11:54:26
0;Closed;09.11.2012-12:54:39
1;Assign seriousness;03.04.2012-08:55:38
1;Take in charge ticket;03.04.2012-08:55:53
1;Resolve ticket;05.04.2012-09:15:52
1;Closed;19.05.2012-09:00:28
2;Assign seriousness;29.10.2010-10:14:06
2;Take in charge ticket;03.11.2010-16:16:11
2;Resolve ticket;03.11.2010-16:21:17
2;Closed;30.11.2010-11:20:18
3;Assign seriousness;15.12.2010-14:31:53
3;Take in charge ticket;16.12.2010-08:01:07
3;Resolve ticket;16.12.2010-08:08:19
3;Closed;12.02.2011-14:40:42
4;Assign seriousness;03.04.2012-13:08:32
4;Take in charge ticket;03.04.2012-13:45:33
4;Resolve ticket;03.04.2012-13:47:22
4;Take in charge ticket;03.04.2012-14:15:02
4;Resolve ticket;03.04.2012-16:07:28
4;Closed;25.05.2012-13:10:28
5;Assign seriousness;25.10.2011-15:13:58
5;Take in charge ticket;25.10.2011-15:58:55
5;Resolve ticket;26.10.2011-09:54:46
5;Closed;10.12.2011-16:20:56
6;Assign seriousness;06.11.2013-10:47:35
6;Assign seriousness;06.11.2013-10:48:53
6;Assign seriousness;22.11.2013-08:00:08
6;Take in charge ticket;25.11.2013-08:18:07
6;Resolve ticket;25.11.2013-08:57:19
6;Closed;10.12.2013-08:57:37
7;Assign seriousness;05.07.2012-08:30:32
7;Take in charge ticket;05.07.2012-09:25:45
7;Resolve ticket;05.07.2012-09:44:46
7;Closed;02.09.2012-08:40:27
8;Insert ticket;07.05.2010-13:02:21
8;Assign seriousness;07.05.2010-13:02:34
8;Take in charge ticket;24.05.2010-10:26:28
8;Resolve ticket;25.05.2010-15:35:44
8;Closed;09.06.2010-15:35:56
9;Assign seriousness;10.02.2010-08:50:20
9;Take in charge ticket;19.03.2010-08:47:06
9;Resolve ticket;19.03.2010-08:47:13
9;Closed;03.04.2010-07:47:38
10;Assign seriousness;21.12.2011-15:24:41
10;Take in charge ticket;21.12.2011-15:25:34
10;Resolve ticket;22.12.2011-09:55:43
10;Closed;21.01.2012-15:30:31
11;Assign seriousness;18.03.2013-10:47:34
11;Take in charge ticket;18.03.2013-15:03:49
11;Resolve ticket;03.04.2013-07:13:38
11;Closed;18.04.2013-07:13:53
12;Assign seriousness;17.12.2012-09:47:49
12;Take in charge ticket;02.01.2013-09:22:43
12;Resolve ticket;04.01.2013-10:29:36
12;Closed;19.01.2013-10:29:51
13;Assign seriousness;05.07.2011-13:47:08
13;Take in charge ticket;05.07.2011-13:47:22
13;Resolve ticket;05.07.2011-13:52:37
13;Closed;05.08.2011-13:50:21
14;Assign seriousness;20.02.2013-09:58:27
14;Assign seriousness;08.03.2013-08:25:42
14;Take in charge ticket;08.03.2013-08:30:43
14;Resolve ticket;08.03.2013-08:34:08
14;Closed;23.03.2013-08:34:25
15;Assign seriousness;22.02.2012-14:16:52
15;Take in charge ticket;22.02.2012-16:14:07
15;Take in charge ticket;22.02.2012-16:23:57
15;Resolve ticket;23.02.2012-09:47:38
15;Closed;24.03.2012-14:20:19
16;Assign seriousness;14.10.2011-07:10:47
16;Take in charge ticket;02.11.2011-16:17:52
