CaseID;Prefix length;Ground truth;Predicted
80;1;b'[0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 1]'
81;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 1]'
82;1;b'[0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 1]'
83;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
84;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
85;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
86;1;b'[0, 1, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
87;1;b'[0, 1, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
88;1;b'[0, 0, 0, 0, 0, 0, 1]';b'[1, 0, 0, 0, 0, 0, 0]'
89;1;b'[0, 0, 0, 1, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 1]'
90;1;b'[0, 1, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
91;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 1]'
92;1;b'[0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 1]'
93;1;b'[0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 1]'
94;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
95;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
96;1;b'[0, 1, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
97;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
98;1;b'[0, 1, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
99;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
100;1;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
81;2;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
83;2;b'[1, 0, 0, 0, 0, 0, 0]';b'[0, 1, 0, 0, 0, 0, 0]'
84;2;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
85;2;b'[1, 0, 0, 0, 0, 0, 0]';b'[1, 0, 0, 0, 0, 0, 0]'
86;2;b'[0, 1, 0, 0, 0, 0, 0]';b'[0, 1, 0, 0, 0, 0, 0]'
87;2;b'[0, 0, 1, 0, 0, 0, 0]';b'[0, 1, 0, 0, 0, 0, 0]'
