CaseID;Prefix length;Ground truth;Predicted
5652;1;b'30';b'[48]'
5653;1;b'30';b'[48]'
5654;1;b'30';b'[48]'
5655;1;b'30';b'[48]'
5656;1;b'1';b'[48]'
5657;1;b'1';b'[48]'
5658;1;b'2';b'[48]'
5659;1;b'30';b'[48]'
5660;1;b'30';b'[48]'
5661;1;b'1';b'[48]'
5662;1;b'1';b'[48]'
5663;1;b'1';b'[48]'
5664;1;b'30';b'[48]'
5665;1;b'30';b'[48]'
5666;1;b'30';b'[48]'
5667;1;b'30';b'[48]'
5668;1;b'36';b'[48]'
5669;1;b'30';b'[48]'
5670;1;b'30';b'[48]'
5671;1;b'30';b'[48]'
5672;1;b'30';b'[48]'
5673;1;b'30';b'[48]'
5674;1;b'30';b'[48]'
5675;1;b'30';b'[48]'
5676;1;b'30';b'[48]'
5677;1;b'1';b'[48]'
5678;1;b'1';b'[48]'
5679;1;b'1';b'[48]'
5680;1;b'1';b'[48]'
5681;1;b'2';b'[48]'
5682;1;b'30';b'[48]'
5683;1;b'30';b'[48]'
5684;1;b'30';b'[48]'
5685;1;b'30';b'[48]'
5686;1;b'30';b'[48]'
5687;1;b'30';b'[48]'
5688;1;b'30';b'[48]'
5689;1;b'30';b'[48]'
5690;1;b'30';b'[48]'
5691;1;b'30';b'[48]'
5692;1;b'30';b'[48]'
5693;1;b'30';b'[48]'
5694;1;b'30';b'[48]'
5695;1;b'30';b'[48]'
5696;1;b'30';b'[48]'
5697;1;b'30';b'[48]'
5698;1;b'30';b'[48]'
5699;1;b'30';b'[48]'
5700;1;b'30';b'[48]'
5701;1;b'30';b'[48]'
5702;1;b'30';b'[48]'
5703;1;b'30';b'[48]'
5704;1;b'30';b'[48]'
5705;1;b'30';b'[48]'
5706;1;b'30';b'[48]'
5707;1;b'30';b'[48]'
5708;1;b'30';b'[48]'
5709;1;b'30';b'[48]'
5710;1;b'30';b'[48]'
5711;1;b'30';b'[48]'
5712;1;b'30';b'[48]'
5713;1;b'30';b'[48]'
5714;1;b'30';b'[48]'
5715;1;b'30';b'[48]'
5716;1;b'30';b'[48]'
5717;1;b'30';b'[48]'
5718;1;b'30';b'[48]'
5719;1;b'30';b'[48]'
5720;1;b'30';b'[48]'
5721;1;b'30';b'[48]'
5722;1;b'1';b'[48]'
5723;1;b'30';b'[48]'
5724;1;b'30';b'[48]'
5725;1;b'30';b'[48]'
5726;1;b'30';b'[48]'
5727;1;b'30';b'[48]'
5728;1;b'30';b'[48]'
5729;1;b'30';b'[48]'
5730;1;b'30';b'[48]'
5731;1;b'30';b'[48]'
5732;1;b'30';b'[48]'
5733;1;b'30';b'[48]'
5734;1;b'30';b'[48]'
5735;1;b'30';b'[48]'
5736;1;b'30';b'[48]'
5737;1;b'30';b'[48]'
5738;1;b'30';b'[48]'
5739;1;b'30';b'[48]'
5740;1;b'30';b'[48]'
5741;1;b'30';b'[48]'
5742;1;b'30';b'[48]'
5743;1;b'30';b'[48]'
5744;1;b'30';b'[48]'
5745;1;b'30';b'[48]'
5746;1;b'30';b'[48]'
5747;1;b'30';b'[48]'
5748;1;b'30';b'[48]'
5749;1;b'30';b'[48]'
5750;1;b'1';b'[48]'
5751;1;b'30';b'[48]'
5752;1;b'2';b'[48]'
5753;1;b'1';b'[48]'
5754;1;b'30';b'[48]'
5755;1;b'30';b'[48]'
5756;1;b'30';b'[48]'
5757;1;b'30';b'[48]'
5758;1;b'30';b'[48]'
5759;1;b'1';b'[48]'
5760;1;b'1';b'[48]'
5761;1;b'2';b'[48]'
5762;1;b'30';b'[48]'
5763;1;b'30';b'[48]'
5764;1;b'30';b'[48]'
5765;1;b'30';b'[48]'
5766;1;b'30';b'[48]'
5767;1;b'30';b'[48]'
5768;1;b'30';b'[48]'
5769;1;b'30';b'[48]'
5770;1;b'30';b'[48]'
5771;1;b'0';b'[48]'
5772;1;b'30';b'[48]'
5773;1;b'30';b'[48]'
5774;1;b'30';b'[48]'
5775;1;b'30';b'[48]'
5776;1;b'30';b'[48]'
5777;1;b'30';b'[48]'
5778;1;b'30';b'[48]'
5779;1;b'30';b'[48]'
5780;1;b'30';b'[48]'
5781;1;b'30';b'[48]'
5782;1;b'30';b'[48]'
5783;1;b'30';b'[48]'
5784;1;b'30';b'[48]'
5785;1;b'1';b'[48]'
5786;1;b'30';b'[48]'
5787;1;b'30';b'[48]'
5788;1;b'30';b'[48]'
5789;1;b'30';b'[48]'
5790;1;b'30';b'[48]'
5791;1;b'30';b'[48]'
5792;1;b'30';b'[48]'
5793;1;b'30';b'[48]'
5794;1;b'30';b'[48]'
5795;1;b'30';b'[48]'
5796;1;b'30';b'[48]'
5797;1;b'30';b'[48]'
