CaseID;Prefix length;Ground truth;Predicted
3206;2;b'Resolve ticket';b'Closed'
3207;2;b'Resolve ticket';b'Resolve ticket'
3208;2;b'Resolve ticket';b'Resolve ticket'
3209;2;b'Resolve ticket';b'Resolve ticket'
3210;2;b'Wait';b'Resolve ticket'
3211;2;b'Wait';b'Resolve ticket'
3212;2;b'Resolve ticket';b'Resolve ticket'
3213;2;b'Create SW anomaly';b'Resolve ticket'
3214;2;b'Resolve ticket';b'Resolve ticket'
3215;2;b'Resolve ticket';b'Resolve ticket'
3216;2;b'Take in charge ticket';b'Take in charge ticket'
3217;2;b'Resolve ticket';b'Resolve ticket'
3218;2;b'Resolve ticket';b'Resolve ticket'
3219;2;b'Resolve ticket';b'Resolve ticket'
3220;2;b'Resolve ticket';b'Resolve ticket'
3221;2;b'Resolve ticket';b'Resolve ticket'
3222;2;b'Create SW anomaly';b'Resolve ticket'
3223;2;b'Take in charge ticket';b'Take in charge ticket'
3224;2;b'Resolve ticket';b'Resolve ticket'
3225;2;b'Closed';b'Closed'
3226;2;b'Resolve ticket';b'Resolve ticket'
3227;2;b'Take in charge ticket';b'Take in charge ticket'
3228;2;b'Resolve ticket';b'Resolve ticket'
3229;2;b'Resolve ticket';b'Resolve ticket'
3230;2;b'Resolve ticket';b'Resolve ticket'
3231;2;b'Resolve ticket';b'Resolve ticket'
3232;2;b'Resolve ticket';b'Resolve ticket'
3233;2;b'Wait';b'Resolve ticket'
3234;2;b'Take in charge ticket';b'Take in charge ticket'
3235;2;b'Resolve ticket';b'Resolve ticket'
3236;2;b'Resolve ticket';b'Resolve ticket'
3237;2;b'Wait';b'Resolve ticket'
3238;2;b'Closed';b'Closed'
3239;2;b'Resolve ticket';b'Resolve ticket'
3240;2;b'Resolve ticket';b'Resolve ticket'
3241;2;b'Closed';b'Closed'
3242;2;b'Resolve ticket';b'Resolve ticket'
3243;2;b'Take in charge ticket';b'Take in charge ticket'
3244;2;b'Resolve ticket';b'Resolve ticket'
3245;2;b'Resolve ticket';b'Resolve ticket'
3246;2;b'Resolve ticket';b'Resolve ticket'
3247;2;b'Resolve ticket';b'Resolve ticket'
3248;2;b'Require upgrade';b'Resolve ticket'
3249;2;b'Wait';b'Resolve ticket'
3250;2;b'Wait';b'Resolve ticket'
3251;2;b'Wait';b'Resolve ticket'
3252;2;b'Resolve ticket';b'Resolve ticket'
3253;2;b'Wait';b'Resolve ticket'
3254;2;b'Resolve ticket';b'Resolve ticket'
3255;2;b'Take in charge ticket';b'Take in charge ticket'
3256;2;b'Wait';b'Resolve ticket'
3257;2;b'Closed';b'Closed'
3258;2;b'Resolve ticket';b'Resolve ticket'
3259;2;b'Resolve ticket';b'Resolve ticket'
3260;2;b'Resolve ticket';b'Resolve ticket'
3261;2;b'Resolve ticket';b'Resolve ticket'
3262;2;b'Resolve ticket';b'Resolve ticket'
3263;2;b'Wait';b'Resolve ticket'
3264;2;b'Resolve ticket';b'Resolve ticket'
3265;2;b'Resolve ticket';b'Resolve ticket'
3266;2;b'Resolve ticket';b'Resolve ticket'
3267;2;b'Resolve ticket';b'Resolve ticket'
3268;2;b'Resolve ticket';b'Resolve ticket'
3269;2;b'Wait';b'Resolve ticket'
3270;2;b'Resolve SW anomaly';b'Resolve ticket'
3271;2;b'Resolve ticket';b'Resolve ticket'
3272;2;b'Resolve ticket';b'Resolve ticket'
3273;2;b'Take in charge ticket';b'Take in charge ticket'
3274;2;b'Resolve ticket';b'Resolve ticket'
3275;2;b'Require upgrade';b'Resolve ticket'
3276;2;b'Resolve ticket';b'Resolve ticket'
3277;2;b'Wait';b'Resolve ticket'
3278;2;b'Wait';b'Resolve ticket'
3279;2;b'Resolve ticket';b'Resolve ticket'
3280;2;b'Resolve ticket';b'Resolve ticket'
3281;2;b'Resolve ticket';b'Resolve ticket'
3282;2;b'Resolve ticket';b'Resolve ticket'
3283;2;b'Resolve ticket';b'Resolve ticket'
3284;2;b'Resolve ticket';b'Resolve ticket'
3285;2;b'Resolve ticket';b'Resolve ticket'
3286;2;b'Wait';b'Resolve ticket'
3287;2;b'Wait';b'Resolve ticket'
3288;2;b'Resolve ticket';b'Resolve ticket'
3289;2;b'Resolve ticket';b'Resolve ticket'
3290;2;b'Closed';b'Closed'
3291;2;b'Wait';b'Resolve ticket'
3292;2;b'Resolve ticket';b'Closed'
3293;2;b'Wait';b'Resolve ticket'
3294;2;b'Wait';b'Resolve ticket'
3295;2;b'Take in charge ticket';b'Take in charge ticket'
3296;2;b'Resolve ticket';b'Take in charge ticket'
3297;2;b'Resolve ticket';b'Resolve ticket'
3298;2;b'Resolve ticket';b'Resolve ticket'
3299;2;b'Resolve ticket';b'Resolve ticket'
3300;2;b'Resolve ticket';b'Resolve ticket'
3301;2;b'Take in charge ticket';b'Take in charge ticket'
3302;2;b'Wait';b'Resolve ticket'
3303;2;b'Wait';b'Resolve ticket'
3304;2;b'Resolve ticket';b'Resolve ticket'
3305;2;b'Resolve ticket';b'Resolve ticket'
3306;2;b'Wait';b'Resolve ticket'
3307;2;b'Wait';b'Resolve ticket'
3308;2;b'Resolve ticket';b'Resolve ticket'
3309;2;b'Resolve ticket';b'Resolve ticket'
3310;2;b'Resolve ticket';b'Resolve ticket'
3311;2;b'Resolve ticket';b'Resolve ticket'
3312;2;b'Resolve ticket';b'Resolve ticket'
3313;2;b'Wait';b'Resolve ticket'
3314;2;b'Resolve ticket';b'Resolve ticket'
3315;2;b'Resolve ticket';b'Resolve ticket'
3316;2;b'Resolve ticket';b'Resolve ticket'
3317;2;b'Wait';b'Resolve ticket'
3318;2;b'Resolve ticket';b'Resolve ticket'
