CaseID;Prefix length;Ground truth activity;Predicted activity
3664;1;b'2';b'2'
3665;1;b'2';b'2'
3666;1;b'2';b'2'
3667;1;b'2';b'2'
3668;1;b'1';b'2'
3669;1;b'2';b'2'
3670;1;b'2';b'2'
3671;1;b'2';b'2'
3672;1;b'2';b'2'
3673;1;b'2';b'2'
3674;1;b'2';b'2'
3675;1;b'2';b'2'
3676;1;b'3';b'2'
3677;1;b'2';b'2'
3678;1;b'2';b'2'
3679;1;b'2';b'2'
3680;1;b'2';b'2'
3681;1;b'2';b'2'
3682;1;b'2';b'2'
3683;1;b'2';b'2'
3684;1;b'6';b'2'
3685;1;b'2';b'2'
3686;1;b'2';b'2'
3687;1;b'1';b'2'
3688;1;b'2';b'2'
3689;1;b'1';b'2'
3690;1;b'1';b'2'
3691;1;b'3';b'2'
3692;1;b'2';b'2'
3693;1;b'3';b'2'
3694;1;b'2';b'2'
3695;1;b'2';b'2'
3696;1;b'2';b'2'
3697;1;b'6';b'5'
3698;1;b'2';b'2'
3699;1;b'2';b'2'
3700;1;b'2';b'2'
3701;1;b'1';b'2'
3702;1;b'2';b'2'
3703;1;b'3';b'2'
3704;1;b'2';b'2'
3705;1;b'2';b'2'
3706;1;b'2';b'2'
3707;1;b'2';b'2'
3708;1;b'2';b'2'
3709;1;b'1';b'2'
3710;1;b'2';b'2'
3711;1;b'2';b'2'
3712;1;b'2';b'2'
3713;1;b'2';b'2'
3714;1;b'2';b'2'
3715;1;b'2';b'2'
3716;1;b'2';b'2'
3717;1;b'2';b'2'
3718;1;b'2';b'2'
3719;1;b'2';b'2'
3720;1;b'2';b'2'
3721;1;b'1';b'2'
3722;1;b'2';b'2'
3723;1;b'2';b'2'
3724;1;b'3';b'2'
3725;1;b'2';b'2'
3726;1;b'2';b'2'
3727;1;b'1';b'2'
3728;1;b'3';b'2'
3729;1;b'2';b'2'
3730;1;b'2';b'2'
3731;1;b'2';b'2'
3732;1;b'3';b'2'
3733;1;b'2';b'2'
3734;1;b'2';b'2'
3735;1;b'3';b'3'
3736;1;b'2';b'2'
3737;1;b'2';b'2'
3738;1;b'3';b'2'
3739;1;b'2';b'2'
3740;1;b'2';b'2'
3741;1;b'2';b'2'
3742;1;b'2';b'2'
3743;1;b'2';b'2'
3744;1;b'2';b'2'
3745;1;b'2';b'2'
3746;1;b'2';b'2'
3747;1;b'1';b'2'
3748;1;b'2';b'2'
3749;1;b'2';b'2'
3750;1;b'2';b'2'
3751;1;b'2';b'2'
3752;1;b'2';b'2'
3753;1;b'3';b'2'
3754;1;b'2';b'2'
3755;1;b'2';b'2'
3756;1;b'1';b'2'
3757;1;b'2';b'2'
3758;1;b'1';b'2'
3759;1;b'3';b'2'
3760;1;b'3';b'5'
3761;1;b'2';b'2'
3762;1;b'2';b'2'
3763;1;b'2';b'2'
3764;1;b'2';b'2'
3765;1;b'2';b'2'
3766;1;b'2';b'2'
3767;1;b'2';b'2'
3768;1;b'2';b'2'
3769;1;b'2';b'2'
3770;1;b'2';b'2'
3771;1;b'2';b'2'
3772;1;b'2';b'2'
3773;1;b'2';b'2'
3774;1;b'2';b'2'
3775;1;b'1';b'2'
3776;1;b'2';b'2'
3777;1;b'2';b'2'
3778;1;b'2';b'2'
3779;1;b'1';b'2'
3780;1;b'3';b'5'
3781;1;b'1';b'2'
3782;1;b'2';b'2'
3783;1;b'2';b'2'
3784;1;b'2';b'2'
3785;1;b'2';b'2'
3786;1;b'2';b'2'
3787;1;b'1';b'2'
3788;1;b'2';b'2'
3789;1;b'2';b'2'
3790;1;b'2';b'2'
3791;1;b'2';b'2'
3792;1;b'2';b'2'
3793;1;b'2';b'2'
3794;1;b'1';b'2'
3795;1;b'2';b'2'
3796;1;b'2';b'2'
3797;1;b'2';b'2'
3798;1;b'2';b'2'
3799;1;b'2';b'2'
3800;1;b'2';b'2'
3801;1;b'1';b'5'
3802;1;b'1';b'2'
3803;1;b'2';b'2'
3804;1;b'2';b'2'
3805;1;b'2';b'2'
3806;1;b'2';b'2'
3807;1;b'3';b'3'
3808;1;b'1';b'2'
3809;1;b'2';b'2'
3810;1;b'2';b'2'
3811;1;b'2';b'2'
3812;1;b'2';b'2'
3813;1;b'2';b'2'
3814;1;b'6';b'2'
3815;1;b'2';b'2'
3816;1;b'2';b'2'
3817;1;b'2';b'2'
3818;1;b'2';b'2'
3819;1;b'2';b'2'
3820;1;b'2';b'2'
3821;1;b'2';b'2'
3822;1;b'2';b'2'
3823;1;b'1';b'2'
3824;1;b'2';b'2'
3825;1;b'1';b'2'
3826;1;b'2';b'2'
3827;1;b'2';b'2'
3828;1;b'2';b'2'
3829;1;b'2';b'2'
