CaseID;Prefix length;Ground truth;Predicted
3664;1;b'1';b'[14]'
3665;1;b'1';b'[14]'
3666;1;b'1';b'[14]'
3667;1;b'1';b'[14]'
3668;1;b'0';b'[14]'
3669;1;b'1';b'[14]'
3670;1;b'1';b'[14]'
3671;1;b'1';b'[14]'
3672;1;b'1';b'[14]'
3673;1;b'1';b'[14]'
3674;1;b'1';b'[14]'
3675;1;b'1';b'[14]'
3676;1;b'2';b'[14]'
3677;1;b'1';b'[14]'
3678;1;b'1';b'[14]'
3679;1;b'1';b'[14]'
3680;1;b'1';b'[14]'
3681;1;b'1';b'[14]'
3682;1;b'1';b'[14]'
3683;1;b'1';b'[14]'
3684;1;b'5';b'[14]'
3685;1;b'1';b'[14]'
3686;1;b'1';b'[14]'
3687;1;b'0';b'[14]'
3688;1;b'1';b'[14]'
3689;1;b'0';b'[14]'
3690;1;b'0';b'[14]'
3691;1;b'2';b'[14]'
3692;1;b'1';b'[14]'
3693;1;b'2';b'[14]'
3694;1;b'1';b'[14]'
3695;1;b'1';b'[14]'
3696;1;b'1';b'[14]'
3697;1;b'5';b'[14]'
3698;1;b'1';b'[14]'
3699;1;b'1';b'[14]'
3700;1;b'1';b'[14]'
3701;1;b'0';b'[14]'
3702;1;b'1';b'[14]'
3703;1;b'2';b'[14]'
3704;1;b'1';b'[14]'
3705;1;b'1';b'[14]'
3706;1;b'1';b'[14]'
3707;1;b'1';b'[14]'
3708;1;b'1';b'[14]'
3709;1;b'0';b'[14]'
3710;1;b'1';b'[14]'
3711;1;b'1';b'[14]'
3712;1;b'1';b'[14]'
3713;1;b'1';b'[14]'
3714;1;b'1';b'[14]'
3715;1;b'1';b'[14]'
3716;1;b'1';b'[14]'
3717;1;b'1';b'[14]'
3718;1;b'1';b'[14]'
3719;1;b'1';b'[14]'
3720;1;b'1';b'[14]'
3721;1;b'0';b'[14]'
3722;1;b'1';b'[14]'
3723;1;b'1';b'[14]'
3724;1;b'2';b'[14]'
3725;1;b'1';b'[14]'
3726;1;b'1';b'[14]'
3727;1;b'0';b'[14]'
3728;1;b'2';b'[14]'
3729;1;b'1';b'[14]'
3730;1;b'1';b'[14]'
3731;1;b'1';b'[14]'
3732;1;b'2';b'[14]'
3733;1;b'1';b'[14]'
3734;1;b'1';b'[14]'
3735;1;b'2';b'[14]'
3736;1;b'1';b'[14]'
