CaseID;Prefix length;Ground truth;Predicted
26;2;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;2;b'[0, 0, 0, 0, 0, 1, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
2;2;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
55;2;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
75;2;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
94;2;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
16;2;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
73;2;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
54;2;b'[0, 0, 0, 0, 0, 1, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
96;2;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
53;2;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
26;3;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;3;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
2;3;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
55;3;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
75;3;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
94;3;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
16;3;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
54;3;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
96;3;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
53;3;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
26;4;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;4;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
2;4;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
94;4;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
16;4;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
54;4;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
96;4;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
53;4;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;5;b'[0, 0, 0, 0, 0, 1, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
54;5;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;6;b'[0, 0, 1, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;7;b'[0, 0, 0, 1, 0, 0, 0, 0, 0]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
86;8;b'[0, 0, 0, 0, 0, 0, 0, 0, 1]';b'[0, 0, 0, 0, 0, 0, 0, 0, 1]'
