CaseID;Prefix length;Ground truth;Predicted
69;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
14;1;b'[1, 0, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
37;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
38;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
80;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
9;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
33;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
65;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
11;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
58;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
30;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
17;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
49;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
87;1;b'[1, 0, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
52;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
48;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
31;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
26;1;b'[0, 1, 0, 0, 0, 0, 0, 0, 0]';b'[0, 0, 0, 1, 0, 0, 0, 0, 0]'
