CaseID;Prefix length;Ground truth activity;Predicted activity
80;1;b'2';b'2'
81;1;b'2';b'2'
82;1;b'2';b'2'
83;1;b'2';b'2'
84;1;b'2';b'2'
85;1;b'2';b'2'
86;1;b'2';b'2'
87;1;b'1';b'2'
88;1;b'2';b'2'
89;1;b'2';b'2'
90;1;b'2';b'2'
91;1;b'2';b'2'
92;1;b'2';b'2'
93;1;b'2';b'2'
94;1;b'2';b'2'
95;1;b'2';b'2'
96;1;b'2';b'2'
97;1;b'2';b'2'
98;1;b'2';b'2'
99;1;b'2';b'2'
80;2;b'6';b'3'
81;2;b'6';b'3'
82;2;b'6';b'3'
83;2;b'3';b'3'
84;2;b'3';b'3'
85;2;b'6';b'2'
86;2;b'6';b'2'
87;2;b'6';b'5'
88;2;b'3';b'3'
89;2;b'3';b'3'
90;2;b'3';b'3'
91;2;b'3';b'3'
92;2;b'3';b'3'
93;2;b'3';b'3'
94;2;b'3';b'3'
95;2;b'3';b'3'
96;2;b'3';b'3'
97;2;b'3';b'3'
98;2;b'3';b'3'
99;2;b'8';b'2'
80;3;b'6';b'5'
81;3;b'3';b'3'
82;3;b'3';b'3'
83;3;b'4';b'4'
84;3;b'4';b'3'
85;3;b'3';b'3'
86;3;b'3';b'3'
87;3;b'2';b'3'
88;3;b'4';b'4'
89;3;b'4';b'4'
90;3;b'4';b'4'
91;3;b'4';b'4'
92;3;b'4';b'4'
93;3;b'4';b'4'
94;3;b'4';b'3'
95;3;b'3';b'4'
96;3;b'4';b'4'
97;3;b'4';b'4'
98;3;b'4';b'4'
99;3;b'3';b'7'
80;4;b'2';b'3'
81;4;b'4';b'4'
82;4;b'4';b'4'
83;4;b'9';b'8'
84;4;b'9';b'8'
85;4;b'4';b'4'
86;4;b'2';b'4'
87;4;b'3';b'4'
88;4;b'9';b'8'
89;4;b'9';b'8'
90;4;b'9';b'8'
91;4;b'9';b'8'
92;4;b'9';b'8'
93;4;b'9';b'8'
94;4;b'9';b'8'
95;4;b'4';b'4'
96;4;b'9';b'8'
97;4;b'9';b'8'
98;4;b'9';b'8'
99;4;b'4';b'4'
80;5;b'3';b'3'
81;5;b'9';b'8'
82;5;b'9';b'8'
85;5;b'9';b'8'
86;5;b'6';b'4'
87;5;b'4';b'4'
95;5;b'9';b'8'
99;5;b'9';b'8'
80;6;b'4';b'4'
86;6;b'3';b'2'
87;6;b'9';b'8'
80;7;b'9';b'8'
86;7;b'4';b'4'
86;8;b'9';b'8'
