CaseID;Prefix length;Ground truth;Predicted
84;2;b'Resolve ticket';b'!'
97;2;b'Resolve ticket';b'!'
10;2;b'Resolve ticket';b'!'
71;2;b'Resolve ticket';b'!'
8;2;b'Take in charge ticket';b'!'
45;2;b'Take in charge ticket';b'!'
22;2;b'Resolve ticket';b'!'
7;2;b'Resolve ticket';b'!'
61;2;b'Closed';b'!'
90;2;b'Resolve ticket';b'!'
86;2;b'Wait';b'!'
109;2;b'Resolve ticket';b'!'
33;2;b'Wait';b'!'
66;2;b'Resolve ticket';b'!'
2;2;b'Resolve ticket';b'!'
78;2;b'Wait';b'!'
99;2;b'Require upgrade';b'!'
24;2;b'Resolve ticket';b'!'
121;2;b'Resolve ticket';b'!'
30;2;b'Create SW anomaly';b'!'
95;2;b'Resolve ticket';b'!'
101;2;b'Resolve ticket';b'!'
60;2;b'Resolve ticket';b'!'
16;2;b'Resolve ticket';b'!'
96;2;b'Resolve ticket';b'!'
112;2;b'Take in charge ticket';b'!'
13;2;b'Resolve ticket';b'!'
75;2;b'Closed';b'!'
73;2;b'!';b'!'
26;2;b'Resolve ticket';b'!'
56;2;b'Resolve ticket';b'!'
62;2;b'Resolve ticket';b'!'
59;2;b'Wait';b'!'
43;2;b'Resolve ticket';b'!'
51;2;b'Resolve ticket';b'!'
3;2;b'Resolve ticket';b'!'
85;2;b'Wait';b'!'
6;2;b'Assign seriousness';b'!'
105;2;b'Closed';b'!'
48;2;b'Wait';b'!'
92;2;b'Resolve ticket';b'!'
106;2;b'Wait';b'!'
50;2;b'Wait';b'!'
98;2;b'Resolve ticket';b'!'
116;2;b'Resolve ticket';b'!'
27;2;b'Create SW anomaly';b'!'
18;2;b'Resolve ticket';b'!'
100;2;b'Take in charge ticket';b'!'
11;2;b'Resolve ticket';b'!'
63;2;b'Wait';b'!'
94;2;b'Resolve ticket';b'!'
76;2;b'Wait';b'!'
91;2;b'Resolve ticket';b'!'
54;2;b'Wait';b'!'
1;2;b'Resolve ticket';b'!'
74;2;b'Take in charge ticket';b'!'
42;2;b'Resolve ticket';b'!'
41;2;b'Resolve ticket';b'!'
4;2;b'Resolve ticket';b'!'
15;2;b'Take in charge ticket';b'!'
17;2;b'Resolve ticket';b'!'
84;3;b'Closed';b'!'
97;3;b'Closed';b'!'
10;3;b'Closed';b'!'
71;3;b'Closed';b'!'
8;3;b'Resolve ticket';b'!'
45;3;b'Wait';b'!'
22;3;b'Closed';b'!'
7;3;b'Closed';b'!'
61;3;b'!';b'!'
90;3;b'Closed';b'!'
