case_id;activity;time;Involved ST Function Div;Involved Org line 3
0;Accepted-In Progress;31.03.2010-14:59:42;A2_4;Org line A2
0;Accepted-In Progress;31.03.2010-15:00:56;A2_4;Org line A2
0;Queued-Awaiting Assignment;31.03.2010-15:45:48;A2_5;Org line A2
0;Accepted-In Progress;06.04.2010-14:44:07;A2_5;Org line A2
0;Queued-Awaiting Assignment;06.04.2010-14:44:38;A2_4;Org line A2
0;Accepted-In Progress;06.04.2010-14:44:47;A2_5;Org line A2
0;Completed-Resolved;06.04.2010-14:44:51;A2_5;Org line A2
0;Queued-Awaiting Assignment;06.04.2010-14:45:07;A2_4;Org line A2
0;Accepted-In Progress;08.04.2010-10:52:23;A2_4;Org line A2
0;Queued-Awaiting Assignment;08.04.2010-10:53:35;A2_5;Org line A2
0;Accepted-In Progress;20.04.2010-09:07:11;A2_5;Org line A2
0;Accepted-Assigned;20.04.2010-09:07:19;A2_5;Org line A2
0;Accepted-In Progress;11.04.2012-15:11:17;A2_5;Org line A2
0;Accepted-Assigned;11.04.2012-15:11:25;A2_5;Org line A2
0;Accepted-In Progress;03.05.2012-09:10:10;A2_5;Org line A2
0;Completed-Resolved;03.05.2012-09:10:12;A2_5;Org line A2
0;Completed-Closed;10.05.2012-23:26:15;A2_5;Org line A2
1;Accepted-In Progress;31.01.2011-10:12:22;V3_2;Org line C
1;Accepted-In Progress;31.01.2011-10:18:44;V3_2;Org line C
1;Queued-Awaiting Assignment;31.01.2011-10:19:05;V3_2;Org line C
1;Accepted-In Progress;31.01.2011-11:59:46;V3_2;Org line C
1;Accepted-Wait - User;31.01.2011-13:37:55;V3_2;Org line C
1;Queued-Awaiting Assignment;03.02.2011-07:28:58;C_6;Org line C
1;Accepted-In Progress;07.02.2011-11:37:33;C_6;Org line C
1;Accepted-Wait - Implementation;07.02.2011-11:38:25;C_6;Org line C
1;Accepted-In Progress;09.03.2011-10:08:06;E_10;Org line C
1;Accepted-Wait - Implementation;09.03.2011-10:27:05;E_10;Org line C
1;Accepted-In Progress;10.03.2011-10:53:10;E_10;Org line C
1;Accepted-Assigned;10.03.2011-10:53:22;E_10;Org line C
1;Accepted-In Progress;10.03.2011-11:17:22;E_10;Org line C
1;Accepted-Wait - User;10.03.2011-11:21:51;E_10;Org line C
1;Accepted-Wait;10.03.2011-13:45:27;E_10;Org line C
1;Accepted-Assigned;14.03.2011-06:56:20;E_10;Org line C
1;Accepted-In Progress;14.03.2011-06:58:01;E_10;Org line C
1;Accepted-Wait;14.03.2011-06:58:55;E_10;Org line C
1;Accepted-In Progress;05.04.2011-15:59:52;E_10;Org line C
1;Queued-Awaiting Assignment;05.04.2011-16:02:01;V3_2;Org line C
1;Accepted-In Progress;06.04.2011-08:32:07;V3_2;Org line C
1;Accepted-Assigned;06.04.2011-09:47:50;V3_2;Org line C
1;Accepted-In Progress;06.04.2011-09:48:33;V3_2;Org line C
1;Accepted-Wait - User;06.04.2011-10:08:47;V3_2;Org line C
1;Accepted-In Progress;07.04.2011-11:36:47;V3_2;Org line C
1;Accepted-Wait;07.04.2011-12:06:06;V3_2;Org line C
1;Accepted-In Progress;08.04.2011-12:10:59;V3_2;Org line C
1;Accepted-Wait;08.04.2011-12:17:44;V3_2;Org line C
1;Queued-Awaiting Assignment;08.04.2011-12:20:00;E_10;Org line C
1;Accepted-In Progress;12.04.2011-13:16:47;E_10;Org line C
1;Accepted-In Progress;08.08.2011-13:28:38;V3_2;Org line C
