case_id;activity;time;Involved ST Function Div
0;Accepted-In Progress;31.03.2010-14:59:42;A2_4
0;Accepted-In Progress;31.03.2010-15:00:56;A2_4
0;Queued-Awaiting Assignment;31.03.2010-15:45:48;A2_5
0;Accepted-In Progress;06.04.2010-14:44:07;A2_5
0;Queued-Awaiting Assignment;06.04.2010-14:44:38;A2_4
0;Accepted-In Progress;06.04.2010-14:44:47;A2_5
0;Completed-Resolved;06.04.2010-14:44:51;A2_5
0;Queued-Awaiting Assignment;06.04.2010-14:45:07;A2_4
0;Accepted-In Progress;08.04.2010-10:52:23;A2_4
0;Queued-Awaiting Assignment;08.04.2010-10:53:35;A2_5
0;Accepted-In Progress;20.04.2010-09:07:11;A2_5
0;Accepted-Assigned;20.04.2010-09:07:19;A2_5
0;Accepted-In Progress;11.04.2012-15:11:17;A2_5
0;Accepted-Assigned;11.04.2012-15:11:25;A2_5
0;Accepted-In Progress;03.05.2012-09:10:10;A2_5
0;Completed-Resolved;03.05.2012-09:10:12;A2_5
0;Completed-Closed;10.05.2012-23:26:15;A2_5
1;Accepted-In Progress;31.01.2011-10:12:22;V3_2
1;Accepted-In Progress;31.01.2011-10:18:44;V3_2
1;Queued-Awaiting Assignment;31.01.2011-10:19:05;V3_2
1;Accepted-In Progress;31.01.2011-11:59:46;V3_2
1;Accepted-Wait - User;31.01.2011-13:37:55;V3_2
1;Queued-Awaiting Assignment;03.02.2011-07:28:58;C_6
1;Accepted-In Progress;07.02.2011-11:37:33;C_6
1;Accepted-Wait - Implementation;07.02.2011-11:38:25;C_6
1;Accepted-In Progress;09.03.2011-10:08:06;E_10
1;Accepted-Wait - Implementation;09.03.2011-10:27:05;E_10
1;Accepted-In Progress;10.03.2011-10:53:10;E_10
1;Accepted-Assigned;10.03.2011-10:53:22;E_10
1;Accepted-In Progress;10.03.2011-11:17:22;E_10
1;Accepted-Wait - User;10.03.2011-11:21:51;E_10
1;Accepted-Wait;10.03.2011-13:45:27;E_10
1;Accepted-Assigned;14.03.2011-06:56:20;E_10
1;Accepted-In Progress;14.03.2011-06:58:01;E_10
1;Accepted-Wait;14.03.2011-06:58:55;E_10
1;Accepted-In Progress;05.04.2011-15:59:52;E_10
1;Queued-Awaiting Assignment;05.04.2011-16:02:01;V3_2
1;Accepted-In Progress;06.04.2011-08:32:07;V3_2
1;Accepted-Assigned;06.04.2011-09:47:50;V3_2
1;Accepted-In Progress;06.04.2011-09:48:33;V3_2
1;Accepted-Wait - User;06.04.2011-10:08:47;V3_2
1;Accepted-In Progress;07.04.2011-11:36:47;V3_2
1;Accepted-Wait;07.04.2011-12:06:06;V3_2
1;Accepted-In Progress;08.04.2011-12:10:59;V3_2
1;Accepted-Wait;08.04.2011-12:17:44;V3_2
1;Queued-Awaiting Assignment;08.04.2011-12:20:00;E_10
1;Accepted-In Progress;12.04.2011-13:16:47;E_10
1;Accepted-In Progress;08.08.2011-13:28:38;V3_2
1;Accepted-Assigned;12.09.2011-09:22:38;V3_2
1;Accepted-In Progress;21.11.2011-12:52:19;V3_2
1;Accepted-Wait - Implementation;21.11.2011-12:52:57;V3_2
1;Queued-Awaiting Assignment;25.01.2012-14:50:41;E_10
1;Accepted-In Progress;25.01.2012-14:53:07;E_10
1;Queued-Awaiting Assignment;25.01.2012-14:54:00;V3_2
1;Accepted-In Progress;15.05.2012-15:56:51;V3_2
1;Completed-Resolved;15.05.2012-15:57:39;V3_2
1;Completed-Closed;22.05.2012-23:22:25;V3_2
2;Accepted-In Progress;24.02.2011-15:17:46;A2_1
2;Accepted-In Progress;24.02.2011-15:17:52;A2_1
2;Queued-Awaiting Assignment;24.02.2011-15:19:35;Dummy
2;Accepted-In Progress;28.02.2011-12:46:38;Dummy
2;Queued-Awaiting Assignment;28.02.2011-12:47:22;A2_1
2;Accepted-In Progress;28.02.2011-12:48:12;A2_1
2;Queued-Awaiting Assignment;28.02.2011-12:53:24;Dummy
2;Accepted-In Progress;04.05.2011-16:07:37;Dummy
2;Queued-Awaiting Assignment;17.02.2012-13:49:34;Dummy
2;Accepted-In Progress;21.03.2012-15:21:44;Dummy
2;Accepted-In Progress;26.03.2012-09:55:35;Dummy
2;Queued-Awaiting Assignment;26.03.2012-09:57:04;Dummy
2;Accepted-In Progress;03.04.2012-13:29:44;Dummy
2;Accepted-Wait;03.04.2012-13:29:49;Dummy
2;Accepted-In Progress;04.05.2012-06:58:20;Dummy
2;Completed-Resolved;04.05.2012-06:59:39;Dummy
2;Completed-Closed;11.05.2012-23:21:31;Dummy
3;Accepted-In Progress;28.02.2011-13:13:33;A2_1
3;Accepted-In Progress;28.02.2011-13:13:40;A2_1
3;Queued-Awaiting Assignment;28.02.2011-13:17:09;Dummy
3;Accepted-In Progress;01.03.2011-14:59:36;Dummy
3;Queued-Awaiting Assignment;01.03.2011-15:00:16;A2_1
3;Accepted-In Progress;01.03.2011-17:34:25;A2_1
3;Accepted-Assigned;01.03.2011-17:46:00;A2_1
3;Accepted-In Progress;02.03.2011-06:42:49;A2_1
3;Queued-Awaiting Assignment;02.03.2011-06:44:11;Dummy
3;Accepted-In Progress;04.05.2011-16:08:55;Dummy
3;Queued-Awaiting Assignment;13.03.2012-09:53:43;Dummy
3;Accepted-In Progress;13.03.2012-10:11:24;Dummy
3;Queued-Awaiting Assignment;13.03.2012-10:27:20;Dummy
3;Accepted-In Progress;03.04.2012-13:59:27;Dummy
3;Accepted-Wait - Implementation;04.04.2012-13:53:31;Dummy
3;Accepted-In Progress;04.04.2012-13:54:40;Dummy
3;Accepted-In Progress;04.05.2012-06:55:03;Dummy
3;Completed-Resolved;04.05.2012-06:57:02;Dummy
3;Completed-Closed;11.05.2012-23:21:30;Dummy
4;Accepted-In Progress;07.03.2011-09:42:08;A2_1
4;Accepted-In Progress;07.03.2011-09:44:43;A2_1
4;Accepted-In Progress;07.03.2011-09:51:59;A2_1
4;Queued-Awaiting Assignment;07.03.2011-09:52:51;Dummy
4;Accepted-In Progress;07.03.2011-10:48:31;Dummy
4;Queued-Awaiting Assignment;07.03.2011-10:55:20;A2_1
4;Accepted-In Progress;07.03.2011-11:03:37;A2_1
4;Accepted-Wait - User;07.03.2011-11:04:35;A2_1
4;Accepted-In Progress;07.03.2011-12:22:56;A2_1
4;Queued-Awaiting Assignment;07.03.2011-12:24:38;Dummy
4;Accepted-In Progress;07.03.2011-13:13:15;Dummy
4;Queued-Awaiting Assignment;07.03.2011-13:13:58;A2_1
4;Accepted-In Progress;08.03.2011-05:53:06;A2_1
4;Queued-Awaiting Assignment;08.03.2011-05:55:54;Dummy
4;Accepted-In Progress;08.03.2011-08:16:24;Dummy
4;Queued-Awaiting Assignment;08.03.2011-08:18:18;A2_1
4;Accepted-In Progress;08.03.2011-08:20:32;A2_1
4;Accepted-Wait - User;08.03.2011-08:22:46;A2_1
4;Accepted-In Progress;09.03.2011-06:16:14;A2_1
4;Queued-Awaiting Assignment;09.03.2011-06:17:16;Dummy
4;Accepted-In Progress;09.03.2011-16:03:41;Dummy
4;Queued-Awaiting Assignment;09.03.2011-16:05:12;A2_1
4;Accepted-In Progress;10.03.2011-11:29:05;A2_1
4;Accepted-Wait - User;10.03.2011-11:47:33;A2_1
4;Accepted-In Progress;14.03.2011-09:19:53;A2_1
4;Accepted-Assigned;14.03.2011-09:28:30;A2_1
4;Accepted-In Progress;14.03.2011-09:28:35;A2_1
4;Queued-Awaiting Assignment;14.03.2011-09:29:13;Dummy
4;Accepted-In Progress;14.03.2011-09:30:27;A2_1
4;Queued-Awaiting Assignment;14.03.2011-09:37:19;Dummy
4;Accepted-In Progress;15.03.2011-09:41:17;Dummy
4;Queued-Awaiting Assignment;15.03.2011-09:53:36;A2_1
4;Accepted-In Progress;15.03.2011-10:00:18;A2_1
4;Queued-Awaiting Assignment;15.03.2011-10:12:52;Dummy
4;Accepted-In Progress;15.03.2011-10:21:49;Dummy
4;Queued-Awaiting Assignment;15.03.2011-10:23:58;A2_1
4;Accepted-In Progress;15.03.2011-10:27:28;A2_1
4;Accepted-Wait - User;15.03.2011-10:33:30;A2_1
4;Accepted-In Progress;15.03.2011-11:38:16;A2_1
4;Accepted-Wait - User;15.03.2011-13:39:01;A2_1
4;Accepted-In Progress;23.03.2011-09:13:28;A2_1
4;Accepted-In Progress;23.03.2011-09:13:29;A2_1
4;Accepted-Wait - User;23.03.2011-09:17:21;A2_1
4;Accepted-In Progress;24.03.2011-09:12:18;A2_1
4;Queued-Awaiting Assignment;24.03.2011-09:13:25;Dummy
4;Accepted-In Progress;24.03.2011-12:20:10;Dummy
4;Queued-Awaiting Assignment;24.03.2011-12:20:46;A2_1
4;Accepted-In Progress;24.03.2011-16:50:30;A2_1
