dataset;classifier;model-id;validation;accuracy;precision-micro;precision-macro;precision-weighted;recall-micro;recall-macro;recall-weighted;f1-score-micro;f1-score-macro;f1-score-weighted;auc-roc;explainer;removed_events_relevance;removed_events_num;explanation-time-avg;explanation-time-total;time-stamp
bpi2012_complete_raw;LSTM;1;split-0.8;0.98;0.98;0.9181981981981983;0.9722702702702704;0.98;0.9222222222222223;0.98;0.98;0.9189520778561875;0.975169503251695;0.997661510942761;lrp;highest;1;0.04342138000000001;4.342138000000001;2021-03-01T19:13:01.615697+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;lime;highest;1;26.091199994999993;5218.2399989999985;2021-03-01T20:42:13.182235+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.89;0.89;0.8089947089947089;0.8980158730158729;0.89;0.7761904761904762;0.89;0.89;0.7587606837606837;0.8610576923076922;0.9858188697392154;lrp;highest;2;17.423923793333326;5227.177137999998;2021-03-01T20:44:51.878413+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;lime;highest;2;26.31964327749998;10527.857310999992;2021-03-01T22:16:00.879289+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.77;0.77;0.7774085576259488;0.8002085921325051;0.77;0.7132275132275132;0.77;0.7699999999999999;0.6929289922743068;0.7298181969934215;0.9715660508142362;lrp;highest;3;21.08727606199997;10543.638030999984;2021-03-01T22:19:11.415921+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;lime;highest;3;26.626130423333304;15975.678253999982;2021-03-01T23:52:54.948273+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.71;0.71;0.6210386473429952;0.6935253623188405;0.71;0.5962962962962962;0.71;0.7100000000000001;0.5652781248190143;0.6597589306914987;0.9459492270440428;lrp;highest;4;22.857463492857107;16000.224444999976;2021-03-01T23:56:48.813005+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;lime;highest;4;26.92270588749997;21538.164709999975;2021-03-02T01:32:45.228033+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.72;0.72;0.639092970521542;0.7097687074829931;0.72;0.5981481481481481;0.72;0.72;0.5753271565036271;0.6661805645335057;0.9359072333823513;lrp;highest;5;23.97393149111107;21576.538341999963;2021-03-02T01:37:31.137393+01:00
bpi2012_complete_raw;LSTM;1;split-0.8;0.98;0.98;0.9375;1.0;0.98;0.9196428571428572;0.98;0.98;0.9270833333333333;0.9883333333333333;1.0;lime;highest;5;27.045092528999955;27045.092528999954;2021-03-02T03:12:58.633757+01:00
