dataset;classifier;model-id;validation;accuracy;precision-micro;precision-macro;precision-weighted;recall-micro;recall-macro;recall-weighted;f1-score-micro;f1-score-macro;f1-score-weighted;auc-roc;explainer;removed_events_relevance;removed_events_num;explanation-time-avg;explanation-time-total;time-stamp
bpi2013i_raw;LSTM;1;split-0.8;0.94;0.94;0.8800247371675943;0.9376190476190476;0.94;0.8266233766233766;0.94;0.94;0.8465509427915443;0.9363192596876807;0.9875345512104691;lrp;highest;1;0.03217962000000002;3.217962000000002;2021-03-01T19:18:57.490690+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.99;0.99;0.9714285714285714;0.992;0.99;0.9523809523809523;0.99;0.99;0.9555555555555556;0.9895555555555555;0.9983807126248126;lime;highest;1;30.103635325000006;6020.727065000001;2021-03-01T21:13:00.618456+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.81;0.81;0.7526677698106269;0.8458054054054054;0.81;0.6925644197072769;0.81;0.81;0.6980114385430001;0.8059807040504714;0.9705046795045308;lrp;highest;2;20.129921756666665;6038.976527;2021-03-01T21:33:00.874688+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.88;0.88;0.884920634920635;0.9041666666666667;0.88;0.8118862090290662;0.88;0.88;0.809835695705261;0.8812760126347083;0.981565625403183;lime;highest;2;30.499096677500006;12199.638671000002;2021-03-01T23:47:06.668572+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.74;0.74;0.7130864010503457;0.7960701661364439;0.74;0.6409338280766852;0.74;0.74;0.6397482982848837;0.7334696009330156;0.9578379270155912;lrp;highest;3;24.463802570000013;12231.901285000007;2021-03-02T00:34:02.346529+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.83;0.83;0.8428571428571429;0.8736666666666666;0.83;0.776384250669965;0.83;0.83;0.7637201490984885;0.8362017974559969;0.9657438313673843;lime;highest;3;31.192003918333338;18715.202351000004;2021-03-02T03:21:57.858277+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.68;0.68;0.6691094619666048;0.7360930735930736;0.68;0.5750381364667078;0.68;0.68;0.5829432472289616;0.6707177822177822;0.9419565203948626;lrp;highest;4;26.79865700571428;18759.059903999994;2021-03-02T04:30:39.164891+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.77;0.77;0.6425342355384853;0.7712536482216117;0.77;0.6386497629354773;0.77;0.7699999999999999;0.632984212395977;0.7660525661408015;0.9448913376923479;lime;highest;4;31.457096174999982;25165.676939999987;2021-03-02T07:36:36.283621+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.64;0.64;0.6608102589234665;0.7226838193253288;0.64;0.49893424036281175;0.64;0.64;0.5116753678215472;0.6078272425249169;0.9150085134578315;lrp;highest;5;0.030821159999999993;3.082115999999999;2021-03-02T09:42:29.083756+01:00
bpi2013i_raw;LSTM;1;split-0.8;0.66;0.66;0.6695415008108506;0.7320601995184038;0.66;0.5478086992372707;0.66;0.66;0.5622837908552195;0.660016038016038;0.8999198098339521;lime;highest;5;29.707906010000002;5941.581202;2021-03-02T11:35:27.391836+01:00
