CaseID;Prefix length;Ground truth activity;Predicted activity
10469;1;b'2';b'1'
10470;1;b'2';b'1'
10471;1;b'2';b'1'
10472;1;b'2';b'1'
10473;1;b'2';b'1'
10474;1;b'2';b'1'
10475;1;b'2';b'1'
10476;1;b'2';b'1'
10477;1;b'2';b'1'
10478;1;b'2';b'1'
10479;1;b'2';b'1'
10480;1;b'2';b'1'
10481;1;b'2';b'1'
10482;1;b'2';b'1'
10483;1;b'2';b'1'
10484;1;b'2';b'1'
10485;1;b'2';b'1'
10486;1;b'2';b'1'
10487;1;b'2';b'1'
10488;1;b'2';b'1'
10489;1;b'2';b'1'
10490;1;b'2';b'1'
10491;1;b'2';b'1'
10492;1;b'2';b'1'
10493;1;b'2';b'1'
10494;1;b'2';b'1'
10495;1;b'2';b'1'
10496;1;b'2';b'1'
10497;1;b'2';b'1'
10498;1;b'2';b'1'
10499;1;b'2';b'1'
10500;1;b'2';b'1'
10501;1;b'2';b'1'
10502;1;b'2';b'1'
10503;1;b'2';b'1'
10504;1;b'2';b'1'
10505;1;b'2';b'1'
10506;1;b'2';b'1'
10507;1;b'2';b'1'
10508;1;b'2';b'1'
10509;1;b'2';b'1'
10510;1;b'2';b'1'
10511;1;b'2';b'1'
10512;1;b'2';b'1'
10513;1;b'2';b'1'
10514;1;b'2';b'1'
10515;1;b'2';b'1'
10516;1;b'2';b'1'
10517;1;b'2';b'1'
10518;1;b'2';b'1'
10519;1;b'2';b'1'
10520;1;b'2';b'1'
10521;1;b'2';b'1'
10522;1;b'2';b'1'
10523;1;b'2';b'1'
10524;1;b'2';b'1'
10525;1;b'2';b'1'
10526;1;b'2';b'1'
10527;1;b'2';b'1'
10528;1;b'2';b'1'
10529;1;b'2';b'1'
10530;1;b'2';b'1'
10531;1;b'2';b'1'
10532;1;b'2';b'1'
10533;1;b'2';b'1'
10534;1;b'2';b'1'
10535;1;b'2';b'1'
10536;1;b'2';b'1'
10537;1;b'2';b'1'
10538;1;b'2';b'1'
10539;1;b'2';b'1'
10540;1;b'2';b'1'
10541;1;b'2';b'1'
10542;1;b'2';b'1'
10543;1;b'2';b'1'
10544;1;b'2';b'1'
10545;1;b'2';b'1'
